"What is compression?","Reducing the size of a file so it uses less storage space and can be transmitted faster (using less bandwidth)."
"What is lossless compression?","Reducing file size with no permanent loss of data; the original file can be reconstructed exactly when decompressed."
"What is lossy compression?","Reducing file size by permanently removing some data (often data the eye/ear is less sensitive to); the original cannot be reconstructed exactly."
"Give a typical use of lossless compression.","Text files, executable programs, spreadsheets, ZIP, PNG — anywhere detail cannot be lost."
"Give a typical use of lossy compression.","Images (JPEG), audio (MP3) and video, where small quality loss is acceptable for much smaller files."
"What is run length encoding (RLE)?","A lossless technique that replaces runs (sequences of repeated identical values) with a single value and a count of how many times it repeats."
"When is RLE most/least effective?","Most effective with long runs of repeated data (e.g. simple images); it can increase file size when data has few or no repeats."
"Encode WWWBBWWWW using RLE.","3W2B4W (value followed by run length, lossless)."
"What is dictionary-based compression?","A lossless technique that stores recurring patterns/words once in a dictionary and replaces them in the file with a short reference (e.g. an index number)."
"Why must a dictionary be sent with dictionary-compressed data?","Because the references in the file have no meaning without the dictionary; it is needed to reconstruct the original data."
"What is encryption?","Scrambling data into unreadable ciphertext using an algorithm and a key, so only someone with the correct key can decrypt it back to plaintext."
"What is symmetric encryption?","Encryption that uses the same single key to both encrypt and decrypt the data."
"What is the key distribution problem?","In symmetric encryption the shared key must be exchanged securely; if it is intercepted during exchange the encryption is broken."
"What is asymmetric encryption?","Encryption using a pair of mathematically related keys: a public key (shared openly) and a private key (kept secret)."
"How do public and private keys relate in asymmetric encryption?","Data encrypted with the public key can only be decrypted with the matching private key."
"Give one advantage of asymmetric over symmetric encryption.","It solves the key distribution problem because the public key can be shared openly without compromising security."
"Give one disadvantage of asymmetric encryption.","It is slower and more computationally expensive than symmetric encryption."
"What is hashing?","Applying a hash function to an input to produce a fixed-length output (a hash/digest); it is one-way and deterministic."
"What does it mean that hashing is 'one-way'?","You cannot feasibly reverse a hash back to the original input."
"What is a hash collision?","When two different inputs produce the same hash value/output."
"Give two uses of hashing.","Storing passwords securely (store the hash, not the password) and hash tables for fast (close to O(1)) lookup."
"Why store password hashes rather than passwords?","If the database is stolen, attackers do not get the actual passwords; an entered password is hashed and compared to the stored hash."
"Difference between hashing and encryption?","Encryption is reversible with a key; hashing is one-way and not designed to be reversed."
"What is a flat file database?","A database held in a single table/file; it suffers from data redundancy and update/inconsistency anomalies."
"What is a relational database?","A database where data is split across multiple linked tables (using keys), reducing redundancy and improving consistency and scalability."
"Define entity, attribute and record.","Entity = a category of thing data is stored about (a table); attribute/field = a property/column; record/row/tuple = all data about one instance."
"What is a primary key?","An attribute (or set of attributes) that uniquely identifies each record in a table."
"What is a foreign key?","An attribute in one table that is the primary key in another table, used to link the two tables."
"What is a composite key?","A primary key made up of two or more attributes combined, because no single attribute is unique on its own."
"What is a secondary key?","An attribute used to allow records to be searched/indexed quickly even though it is not the primary key."
"How is a many-to-many relationship resolved in a relational database?","By introducing a linking (junction) table, typically with a composite key, creating two one-to-many relationships."
"What is normalisation?","The process of organising data in a database to reduce redundancy and remove anomalies while keeping data consistent."
"State the rule for 1NF.","No repeating groups; each field contains a single (atomic) value; there is a primary key."
"State the rule for 2NF.","In 1NF and every non-key attribute depends on the whole primary key (remove partial dependencies — relevant with a composite key)."
"State the rule for 3NF.","In 2NF and no non-key (transitive) dependencies — no non-key attribute depends on another non-key attribute."
"Summarise 3NF in one phrase.","Every non-key attribute depends on 'the key, the whole key, and nothing but the key'."
"What is referential integrity?","Ensuring a foreign key value always refers to a valid existing primary key in the related table (or is null), preventing orphaned records."
"What is a transaction?","A single logical operation made up of one or more steps that must all succeed or all fail together."
"What do the letters ACID stand for?","Atomicity, Consistency, Isolation, Durability — properties of a reliable transaction."
"Explain Atomicity and Durability (ACID).","Atomicity: the transaction is all-or-nothing; if any part fails it is rolled back. Durability: once committed it is permanently saved, even after a failure."
"Explain Consistency and Isolation (ACID).","Consistency: a transaction takes the database from one valid state to another without breaking rules. Isolation: concurrent transactions do not interfere, as if run one after another."
"What is record locking?","Locking a record while one transaction updates it so others cannot edit it at the same time, preventing the lost update problem (risk: deadlock)."
"Name SQL keywords to retrieve and order data.","SELECT (columns), FROM (table), WHERE (filter rows), ORDER BY ... ASC/DESC (sort)."
"What does JOIN ... ON do in SQL?","Combines columns from related tables where a matching key value links them."
"Write SQL to add a record to Student (StudentID 5, Surname 'Lee').","INSERT INTO Student (StudentID, Surname) VALUES (5, 'Lee');"
"What is the difference between a LAN and a WAN?","A LAN covers a small area (one site, organisation-owned cabling); a WAN covers a large area using third-party infrastructure (the internet is the largest WAN)."
"Star vs mesh topology?","Star: all devices connect to a central node (fails if node fails). Mesh: devices interconnected with multiple paths, very resilient but expensive when wired."
"Client-server vs peer-to-peer?","Client-server: servers provide resources to clients (central control, single point of failure). P2P: devices have equal status and share directly (cheaper, harder to manage)."
"What is packet switching?","Data is split into packets that are routed independently (possibly different routes) and reassembled in order at the destination; efficient and resilient."
"What is circuit switching?","A dedicated physical path is reserved between sender and receiver for the whole communication; guarantees bandwidth but wastes capacity when idle."
"What is DNS?","The Domain Name System: servers that translate human-readable domain names into the IP addresses computers use to locate each other."
"Name the four layers of the TCP/IP stack.","Application, Transport, Network/Internet, Link/Data link."
"What does the Transport layer do?","Splits data into packets, manages end-to-end delivery, error checking and reassembly, and adds port numbers (TCP/UDP)."
"What does the Network/Internet layer do?","Adds source and destination IP addresses and routes packets across networks (IP)."
"What is the difference between a switch and a router?","A switch connects devices within a LAN using MAC addresses; a router connects different networks and routes packets using IP addresses."
"What is a MAC address?","A unique 48-bit physical hardware address assigned to a NIC, used at the link layer to identify devices on a local network."
"Purpose of HTTP and HTTPS?","HTTP transfers web pages between server and browser; HTTPS is HTTP encrypted with TLS/SSL for secure web communication."
"Purpose of SMTP, POP3 and IMAP?","SMTP sends email; POP3 retrieves email (usually downloads and removes it from the server); IMAP retrieves email keeping it on the server, synced across devices."
"What is a firewall?","Hardware/software that monitors and controls traffic entering/leaving a network against rules (packet filtering) to block unauthorised access."
"What is a proxy server?","An intermediary between clients and the internet that can hide users' IP addresses, cache pages and filter/log requests."
"What do HTML, CSS and JavaScript each do?","HTML defines structure/content; CSS defines presentation/style; JavaScript adds interactivity/behaviour (usually client-side)."
"What is the PageRank algorithm?","An algorithm that ranks web pages by importance, mainly based on the number and importance of links pointing to them."
"How does PageRank treat links from important vs many-linking pages?","A link from a high-PageRank page is worth more; a page linking to many pages spreads its vote thinly (rank divided by number of outgoing links)."
"What is client-side processing? Give a drawback.","Code runs in the user's browser (e.g. JavaScript); fast feedback but can be viewed, disabled or bypassed, so it is not secure on its own."
"What is server-side processing? Give a drawback.","Code runs on the web server (e.g. PHP, database queries); secure and hidden but increases server load and adds network round-trip delay."
"Application: why must payment validation be done server-side too?","Client-side validation can be bypassed or disabled by the user, so security-critical checks must also be validated/processed server-side."
"Application: which compression for a legal document, and why?","Lossless — no data may be permanently lost, since corrupting a byte could change the document's meaning."
