"What does the Data Protection Act 1998/2018 regulate?","How organisations collect, store and process personal data about living individuals. It governs the data controller and data processor, and gives rights to the data subject. The 2018 Act brought UK law in line with the EU GDPR."
"List the GDPR / DPA 2018 data-protection principles.","Personal data must be: lawful, fair and transparent; collected for a specified purpose (purpose limitation); adequate but minimal (data minimisation); accurate and up to date; kept no longer than necessary (storage limitation); secure (integrity and confidentiality); and the controller must demonstrate compliance (accountability)."
"Name three rights of a data subject under GDPR / DPA 2018.","Right to be informed; right of access (Subject Access Request); right to rectification; right to erasure (right to be forgotten); right to object to processing. (Any three.)"
"Who enforces the Data Protection Act and what penalties can they impose?","The Information Commissioner's Office (ICO). Under GDPR it can fine up to €20 million or 4% of global annual turnover, whichever is greater."
"Give an example of a Data Protection Act breach.","A company selling customer email addresses to advertisers without consent; a hospital losing a laptop with unencrypted patient records; a retailer keeping card details indefinitely with no need."
"DPA exam nuance: is processing without explicit consent always a breach?","No. Consent is only one of six lawful bases (others: contract, legal obligation, legitimate interests, vital interests, public task). If another lawful basis applies, processing without consent is not automatically a breach."
"What does the Computer Misuse Act 1990 protect against?","Unauthorised access to computer systems — hacking and malware. It was passed after the R v Gold and Schifreen case showed existing law could not deal with hacking."
"State the three offences under the Computer Misuse Act 1990.","1) Unauthorised access to computer material. 2) Unauthorised access with intent to commit or facilitate a further offence. 3) Unauthorised modification of computer material."
"Give an example of each Computer Misuse Act offence.","Offence 1: logging into a colleague's account / guessing a password. Offence 2: hacking a bank's system intending to steal money. Offence 3: spreading a virus or ransomware, or deleting a company's files."
"Computer Misuse Act key principle: is it about damage or authorisation?","Authorisation. Simply accessing material you are not authorised to access is an offence (Offence 1) even if you change nothing. Intent and modification escalate the seriousness."
"When does a scenario breach BOTH the CMA and the DPA?","When a hacker steals data (CMA Offence 2 — access with intent) from a company that stored it insecurely (DPA breach of integrity and confidentiality). Outsider hacking = CMA; the organisation mishandling data it holds = DPA."
"What does the Copyright, Designs and Patents Act 1988 protect?","Intellectual property — original works such as literary works, music, films, software (a literary work) and designs. It gives the creator control over copying, distributing, renting, performing and adapting their work."
"Key feature of copyright under the CDPA 1988 (registration)?","Protection is automatic — you do not register a work; copyright exists as soon as the work is created. Copying or distributing without a licence or permission is an offence."
"Give an example of a Copyright, Designs and Patents Act breach.","Downloading films or music via torrents; installing one licensed copy of software on many machines; copying source code from a rival product; using a web image in a commercial product without permission."
"Difference between copyright and a patent.","Copyright is automatic, needs no registration, and protects original works (including the expression of an idea in source code). A patent must be applied for and granted, and protects a novel invention or technical process."
"CDPA nuance: does copyright protect the idea or the expression?","The expression, not the idea. Two programs can solve the same problem without infringing — copying the idea or algorithm is not infringement, but copying the actual code is. Note fair-dealing exceptions for research, review and education."
"How does the CDPA relate to open-source licences (GPL, MIT, Creative Commons)?","Open-source licences rely on copyright law: the author keeps copyright but grants specific permissions to use, modify and redistribute under conditions. The licence works because copyright lets the author set terms."
"What does the Regulation of Investigatory Powers Act 2000 (RIPA) regulate?","The powers of public bodies (police, intelligence agencies) to carry out surveillance and intercept communications — and it places limits and authorisation requirements on those powers to prevent abuse."
"List key provisions of RIPA 2000.","Allows lawful interception of communications for national security/crime detection; requires ISPs to provide access to communications when lawfully required; allows demands for encryption keys in some cases; sets out who may authorise surveillance and for what purpose."
"Give an example of a RIPA breach or abuse.","A public authority intercepting communications without the proper authorisation, or for an improper purpose (e.g. a council monitoring residents over a trivial matter)."
"Why is RIPA the hook for the privacy-vs-security debate?","Interception powers help prevent terrorism and serious crime (benefit to society) but risk mass surveillance and erosion of privacy and civil liberties. RIPA has been partly superseded by the Investigatory Powers Act 2016, but for H446 you discuss RIPA."
"Automation in the workforce — one benefit and one drawback.","Benefit: higher productivity, consistency and lower cost; can create new roles (developers, robotics engineers, technicians). Drawback: job displacement of routine/lower-skilled workers (cashiers, factory staff) who may lack skills for the new jobs."
"What is deskilling?","Where jobs that remain need less skill because technology performs the complex part, reducing wages and job satisfaction — though it can also lead to upskilling as workers move to higher-value tasks."
"Automated decision making — one benefit and one drawback.","Benefit: fast, consistent, processes huge data sets, removes human tiredness/inconsistency. Drawback: lacks human judgement and empathy, hard to appeal ('computer says no'), and responsibility is unclear when it goes wrong (e.g. liability in a self-driving car crash)."
"AI ethics — what is algorithmic / AI bias?","Systematic unfairness in AI output caused by biased training data. AI trained on biased historical data reproduces and amplifies that bias — e.g. a hiring AI that discriminates because past hiring was biased."
"AI ethics — name two concerns besides bias.","Accountability (who is responsible when AI causes harm — developer, company or user?); transparency (many AI systems are 'black boxes' whose decisions cannot be fully explained, making them hard to challenge); plus autonomous weapons and deepfakes."
"Environmental effects of computing — one negative and one positive.","Negative: e-waste with toxic materials, huge energy use by data centres and crypto-mining, and polluting rare-earth mining. Positive: remote/video working cuts travel, smart grids and sensors optimise energy use, and paperless processes."
"What is e-waste and why is it a problem?","Discarded electronic equipment from short upgrade cycles. It contains toxic materials (lead, mercury) and is often shipped to developing countries and dismantled unsafely, harming people and the environment."
"Censorship and the internet — one argument for and one against.","For: protects children, blocks illegal/extremist content, reduces harmful misinformation. Against: restricts freedom of speech and information, can be abused by governments to suppress dissent, and it is unclear who decides what is 'harmful'."
"Monopolies — concerns, and what counterbalances them.","Concerns: a single dominant company stifles competition and innovation, raises prices and causes vendor lock-in. Counterweight: open-source software (Linux, Firefox) is freely available to view, modify and redistribute, promoting choice — though it may lack guaranteed support."
"Offshoring — one benefit and one drawback.","Benefit (business/consumers): lower labour costs, cheaper products, 24-hour 'follow the sun' working, access to global talent. Drawback (home economy): local job losses, communication/time-zone issues, and concerns over data security and working conditions abroad."
"Layoffs — one benefit and one drawback.","Benefit (employers): reduced costs, leaner and more competitive operation. Drawback (employees/society): unemployment, loss of income, regional and social impact, and loss of skilled staff and morale."
"What is the digital divide, and how can it be reduced?","The gap between those with access to technology/the internet and the skills to use it, and those without (caused by income, geography, age, education, disability). Reduced by public Wi-Fi/libraries, subsidised devices, digital-skills education and rural broadband investment."
"Privacy and surveillance — one benefit and one drawback.","Benefit: personalised services, crime prevention, public-health monitoring. Drawback: loss of privacy, profiling, data breaches, a 'chilling effect' on behaviour, and potential for state or corporate misuse. Links to the DPA and RIPA."
"Which law applies: an outsider hacks a company database; the company had stored it unencrypted?","Both. The hacker breaches the Computer Misuse Act (unauthorised access, Offence 2 if with intent). The company breaches the Data Protection Act principle of integrity and confidentiality by not securing the data. Stating both wins marks."
"Essay technique: what pattern earns Level 3 in a levels-of-response answer?","Point → consequence → stakeholder → counter-point, repeated, then a conclusion that takes a clear position and justifies it. Balance (both benefits and drawbacks) and accurate terminology are essential; a one-sided list cannot reach Level 3."
"Stakeholder checklist for an ethical scenario.","Consider: individuals/consumers/employees; businesses/employers; government/society; the environment; developing countries/future generations. Show how the same fact is a benefit to one party and a drawback to another."
"What do the assessment objectives AO1, AO2 and AO3 require in 1.5 essays?","AO1 = recall (state what the law is). AO2 = apply the knowledge to the given scenario. AO3 = evaluate/judge and reach a justified conclusion. Extended-response questions are mostly AO2/AO3 — apply and evaluate, do not just describe."
"Common 1.5 exam mistakes to avoid.","One-sided answers; no justified conclusion; listing instead of developing points; confusing the four laws; saying 'it's illegal' without naming the Act/offence; treating GDPR and the DPA 2018 as identical; forgetting stakeholders."
